,GEOID,Region,VMT,Area in squaremile,Area normalized VMT,Statewide percentile rank,County percentile rank
357,6079010207,San Luis Obispo,3205285.616,15.01029968,213539.0821,60,71
358,6025011302,Imperial,3431677.332,6.526529789,525804.2854,74,95
359,6059110007,Orange,2680313.974,0.950778008,2819074.435,92,90
360,6085503304,Santa Clara,3949846.186,0.574361026,6876939.773,98,100
361,6107002901,Tulare,5079748.967,1.756839991,2891412.419,92,99
362,6073003404,San Diego,2612145.282,0.645048976,4049530.159,95,98
363,6013320004,Contra Costa,4388030.418,2.290400028,1915835.821,87,88
364,6037462700,Los Angeles,3307784.697,0.646933973,5113017.457,96,94
365,6059001504,Orange,2756939.808,0.79519701,3466989.656,93,93
366,6029004305,Kern,3538487.403,34.97689819,101166.4151,41,24
367,6037543100,Los Angeles,3217621.22,1.116969943,2880669.476,92,88
368,6059032022,Orange,2847732.025,1.795619965,1585932.481,85,81
369,6029002403,Kern,3983596.136,11.17609978,356438.8486,69,68
370,6047000204,Merced,4431188.926,0.987842023,4485726.282,96,98
371,6037920303,Los Angeles,2698571.415,19.91069984,135533.7299,49,45
372,6001437000,Alameda,2361990.117,0.616702974,3830028.746,94,92
373,6111007614,Ventura,2823391.03,32.63249969,86520.83218,37,38
374,6037482522,Los Angeles,3505476.865,0.633931994,5529736.464,97,94
375,6061020300,Placer,4286283.687,2.049900055,2090972.034,88,97
376,6099000101,Stanislaus,2421594.502,169.4089966,14294.36778,8,4
377,6037554405,Los Angeles,3659453.32,0.295567989,12381088.11,100,99
378,6047000903,Merced,4298001.376,5.067249775,848192.1292,79,73
379,6037551802,Los Angeles,3562287.676,0.420688987,8467746.455,99,97
380,6073013409,San Diego,2901435.511,1.052970052,2755477.713,92,95
381,6073017305,San Diego,2574931.205,1.623569965,1585968.736,85,88
382,6037901300,Los Angeles,3590568.834,104.1959991,34459.75722,18,13
383,6001434000,Alameda,2824686.057,0.470257998,6006673.086,97,97
384,6077001900,San Joaquin,3675006.594,1.113430023,3300617.477,93,88
385,6065043276,Riverside,3832179.212,3.058809996,1252833.362,83,81
386,6073017406,San Diego,2541979.687,1.43979001,1765521.131,86,90
387,6063000400,Plumas,1114314.814,706.4180298,1577.415591,1,71
388,6073018615,San Diego,2707924.078,0.465083003,5822453.326,97,100
389,6059052502,Orange,2497597.733,1.171790004,2131437.992,89,85
390,6085505010,Santa Clara,2185311.645,3.009720087,726084.6795,77,79
391,6037401101,Los Angeles,3311614.491,1.164170027,2844614.116,92,88
392,6047000205,Merced,4212985.54,0.84977299,4957777.655,96,100
393,6073021001,San Diego,2832502.153,631.5390015,4485.078746,3,2
